name,name_clean,store,price,price_per_100,query,brand
Light Soy Sauce,Light Soy Sauce,aldi,0.55,0.367,soy milk,ASIA SPECIALITIES
Soy & Ginger Fusions Tuna,Soy & Ginger Fusions Tuna,aldi,0.89,1.113,soy milk,THE FISHMONGER
Milk Chocolate Malted Milk Biscuits,Milk Chocolate Malted Milk Biscuits,aldi,1.29,0.52,soy milk,BELMONT
Spring Onions,Spring Onions,aldi,0.69,0.6900000000000001,spring onions,NATURE'S PICK
Jumbo Spring Onions,Jumbo Spring Onions,aldi,0.89,0.6849999999999999,spring onions,NATURE'S PICK
Brown Onions,Brown Onions,aldi,0.99,0.099,spring onions,NATURE'S PICK
Red Onions,Red Onions,aldi,0.95,0.095,spring onions,NATURE'S PICK
British Organic Eggs 6 Pack,British Organic Eggs 6 Pack,aldi,2.25,,organic eggs,MEREVALE
Organic Carrots,Organic Carrots,aldi,1.09,0.156,organic eggs,ORGANIC
Organic Porridge Oats,Organic Porridge Oats,aldi,2.25,0.23,organic eggs,KAVANAGH'S
Lactose Free Milk,Lactose Free Milk,aldi,0.99,0.099,lactose free milk,COWBELLE
Milk Chocolate Malted Milk Biscuits,Milk Chocolate Malted Milk Biscuits,aldi,1.29,0.52,lactose free milk,BELMONT
Evaporated Milk,Evaporated Milk,aldi,0.55,0.13,lactose free milk,DESSERT MENU
Milk Chocolate,Milk Chocolate,aldi,2.25,1.125,lactose free milk,CHOCEUR
Milk Chocolate,Milk Chocolate,aldi,1.95,0.98,lactose free milk,DAIRYFINE
West Country Salted Butter,West Country Salted Butter,aldi,2.29,0.916,salted butter,SPECIALLY SELECTED
British Salted Butter 250g,British Salted Butter 250g,aldi,1.99,0.796,salted butter,COWBELLE
Salt & Pepper Parmentier Potatoes Coated in Butter with Salt & Crushed Black Pepper,Salt & Pepper Parmentier Potatoes Coated in Butter with Salt & Crushed Black Pepper,aldi,1.89,0.378,salted butter,FOUR SEASONS
Slightly Salted Spreadable Butter Blended with Rapeseed Oil,Slightly Salted Spreadable Butter Blended with Rapeseed Oil,aldi,2.18,0.436,salted butter,NORDPAK
Garlic & Herb Parmentier Potatoes with Salted Parsley Butter,Garlic & Herb Parmentier Potatoes with Salted Parsley Butter,aldi,1.89,0.378,salted butter,FOUR SEASONS
Mango Authentic Greek Yogurt,Mango Authentic Greek Yogurt,aldi,0.89,0.59,greek yoghurt,BROOKLEA
Honey Authentic Greek Yogurt,Honey Authentic Greek Yogurt,aldi,0.89,0.59,greek yoghurt,BROOKLEA
Greek Yoghurt 0% Fat,Greek Yoghurt 0% Fat,aldi,1.99,0.4,greek yoghurt,BROOKLEA
Greek Yoghurt 10% Fat,Greek Yoghurt 10% Fat,aldi,1.99,0.4,greek yoghurt,LYTTOS
Vanilla Flavoured Authentic Greek Yogurt,Vanilla Flavoured Authentic Greek Yogurt,aldi,0.89,0.59,greek yoghurt,BROOKLEA
Original Bagels,Original Bagels,aldi,0.99,,bagels,VILLAGE BAKERY
Sesame Bagels 5 Pack,Sesame Bagels 5 Pack,aldi,0.99,,bagels,VILLAGE BAKERY
Cinnamon & Raisin Bagels 5 Pack,Cinnamon & Raisin Bagels 5 Pack,aldi,0.99,,bagels,VILLAGE BAKERY
Garlic,Garlic,aldi,0.87,,garlic,NATURE'S PICK
Loose Garlic,Loose Garlic,aldi,0.42,,garlic,NATURE'S PICK
Garlic Flatbread,Garlic Flatbread,aldi,1.65,0.66,garlic,CARLOS
Garlic Granules,Garlic Granules,aldi,0.69,1.3,garlic,"READY, SET…COOK!"
Garlic Purée,Garlic Purée,aldi,0.85,1.133,garlic,"READY, SET…COOK!"
Ginger,Ginger,aldi,0.99,0.792,ginger root,NATURE'S PICK
